paper_id,title,abstract,categories,text,label_list
704.1804,Equation of state of atomic systems beyond s-wave determined by the   lowest order constrained variational method: Large scattering length limit,"  Dilute Fermi systems with large s-wave scattering length a_s exhibit universal properties if the interparticle spacing r_o greatly exceeds the range of the underlying two-body interaction potential. In this regime, r_o is the only relevant length scale and observables such as the energy per particle depend only on r_o (or, equivalently, the energy E_{FG} of the free Fermi gas). This paper investigates Bose and Fermi systems with non-vanishing angular momentum l using the lowest order constrained variational method. We focus on the regime where the generalized scattering length becomes large and determine the relevant length scales. For Bose gases with large generalized scattering lengths, we obtain simple expressions for the energy per particle in terms of a l-dependent length scale \xi_l, which depends on the range of the underlying two-body potential and the average interparticle spacing. We discuss possible implications for dilute two-component Fermi systems with finite l. Furthermore, we determine the equation of state of liquid and gaseous bosonic helium. ",cond-mat.other,"Equation of state of atomic systems beyond s-wave determined by the   lowest order constrained variational method: Large scattering length limit.   Dilute Fermi systems with large s-wave scattering length a_s exhibit universal properties if the interparticle spacing r_o greatly exceeds the range of the underlying two-body interaction potential. In this regime, r_o is the only relevant length scale and observables such as the energy per particle depend only on r_o (or, equivalently, the energy E_{FG} of the free Fermi gas). This paper investigates Bose and Fermi systems with non-vanishing angular momentum l using the lowest order constrained variational method. We focus on the regime where the generalized scattering length becomes large and determine the relevant length scales. For Bose gases with large generalized scattering lengths, we obtain simple expressions for the energy per particle in terms of a l-dependent length scale \xi_l, which depends on the range of the underlying two-body potential and the average interparticle spacing. We discuss possible implications for dilute two-component Fermi systems with finite l. Furthermore, we determine the equation of state of liquid and gaseous bosonic helium.",['cond-mat.other']
704.1654,The Peculiar Velocities of Local Type Ia Supernovae and their Impact on   Cosmology,"  We quantify the effect of supernova Type Ia peculiar velocities on the derivation of cosmological parameters. The published distant and local Ia SNe used for the Supernova Legacy Survey first-year cosmology report form the sample for this study. While previous work has assumed that the local SNe are at rest in the CMB frame (the No Flow assumption), we test this assumption by applying peculiar velocity corrections to the local SNe using three different flow models. The models are based on the IRAS PSCz galaxy redshift survey, have varying beta = Omega_m^0.6/b, and reproduce the Local Group motion in the CMB frame. These datasets are then fit for w, Omega_m, and Omega_Lambda using flatness or LambdaCDM and a BAO prior. The chi^2 statistic is used to examine the effect of the velocity corrections on the quality of the fits. The most favored model is the beta=0.5 model, which produces a fit significantly better than the No Flow assumption, consistent with previous peculiar velocity studies. By comparing the No Flow assumption with the favored models we derive the largest potential systematic error in w caused by ignoring peculiar velocities to be Delta w = +0.04. For Omega_Lambda, the potential error is Delta Omega_Lambda = -0.04 and for Omega_m, the potential error is Delta Omega_m < +0.01. The favored flow model (beta=0.5) produces the following cosmological parameters: w = -1.08 (+0.09,-0.08), Omega_m = 0.27 (+0.02,-0.02) assuming a flat cosmology, and Omega_Lambda = 0.80 (+0.08,-0.07) and Omega_m = 0.27 (+0.02,-0.02) for a w = -1 (LambdaCDM) cosmology. ",astro-ph,"The Peculiar Velocities of Local Type Ia Supernovae and their Impact on   Cosmology.   We quantify the effect of supernova Type Ia peculiar velocities on the derivation of cosmological parameters. The published distant and local Ia SNe used for the Supernova Legacy Survey first-year cosmology report form the sample for this study. While previous work has assumed that the local SNe are at rest in the CMB frame (the No Flow assumption), we test this assumption by applying peculiar velocity corrections to the local SNe using three different flow models. The models are based on the IRAS PSCz galaxy redshift survey, have varying beta = Omega_m^0.6/b, and reproduce the Local Group motion in the CMB frame. These datasets are then fit for w, Omega_m, and Omega_Lambda using flatness or LambdaCDM and a BAO prior. The chi^2 statistic is used to examine the effect of the velocity corrections on the quality of the fits. The most favored model is the beta=0.5 model, which produces a fit significantly better than the No Flow assumption, consistent with previous peculiar velocity studies. By comparing the No Flow assumption with the favored models we derive the largest potential systematic error in w caused by ignoring peculiar velocities to be Delta w = +0.04. For Omega_Lambda, the potential error is Delta Omega_Lambda = -0.04 and for Omega_m, the potential error is Delta Omega_m < +0.01. The favored flow model (beta=0.5) produces the following cosmological parameters: w = -1.08 (+0.09,-0.08), Omega_m = 0.27 (+0.02,-0.02) assuming a flat cosmology, and Omega_Lambda = 0.80 (+0.08,-0.07) and Omega_m = 0.27 (+0.02,-0.02) for a w = -1 (LambdaCDM) cosmology.",['astro-ph']
704.1179,Self-organized metal nanostructures through laser driven thermocapillary   convection,"  When ultrathin metal films are subjected to multiple cycles of rapid melting and resolidification by a ns pulsed laser, spatially correlated interfacial nanostructures can result from a competition among several possible thin film self-organizing processes. Here we investigate self-organization and the ensuing length scales when Co films (1-8 nm thick) on SiO_{\text{2}} surfaces are repeatedly and rapidly melted by non-uniform (interference) laser irradiation. Pattern evolution produces nanowires, which eventually break-up into nanoparticles exhibiting spatial order in the nearest neighbor spacing, \lambda_{NN2}.The scaling behavior is consistent with pattern formation by thermocapillary flow and a Rayleigh-like instability. For h_{0}\leq2 nm, a hydrodynamic instability of a spinodally unstable film leads to the formation of nanoparticles. ",cond-mat.mtrl-sci,"Self-organized metal nanostructures through laser driven thermocapillary   convection.   When ultrathin metal films are subjected to multiple cycles of rapid melting and resolidification by a ns pulsed laser, spatially correlated interfacial nanostructures can result from a competition among several possible thin film self-organizing processes. Here we investigate self-organization and the ensuing length scales when Co films (1-8 nm thick) on SiO_{\text{2}} surfaces are repeatedly and rapidly melted by non-uniform (interference) laser irradiation. Pattern evolution produces nanowires, which eventually break-up into nanoparticles exhibiting spatial order in the nearest neighbor spacing, \lambda_{NN2}.The scaling behavior is consistent with pattern formation by thermocapillary flow and a Rayleigh-like instability. For h_{0}\leq2 nm, a hydrodynamic instability of a spinodally unstable film leads to the formation of nanoparticles.",['cond-mat.mtrl-sci']
704.1026,The Measure for the Multiverse and the Probability for Inflation,"  We investigate the measure problem in the framework of inflationary cosmology. The measure of the history space is constructed and applied to inflation models. Using this measure, it is shown that the probability for the generalized single field slow roll inflation to last for $N$ e-folds is suppressed by a factor $\exp(-3N)$, and the probability for the generalized $n$-field slow roll inflation is suppressed by a much larger factor $\exp(-3nN)$. Some non-inflationary models such as the cyclic model do not suffer from this difficulty. ",hep-th astro-ph gr-qc,"The Measure for the Multiverse and the Probability for Inflation.   We investigate the measure problem in the framework of inflationary cosmology. The measure of the history space is constructed and applied to inflation models. Using this measure, it is shown that the probability for the generalized single field slow roll inflation to last for $N$ e-folds is suppressed by a factor $\exp(-3N)$, and the probability for the generalized $n$-field slow roll inflation is suppressed by a much larger factor $\exp(-3nN)$. Some non-inflationary models such as the cyclic model do not suffer from this difficulty.","['hep-th', 'astro-ph', 'gr-qc']"
704.1568,Green functions and nonlinear systems: Short time expansion,  We show that Green function methods can be straightforwardly applied to nonlinear equations appearing as the leading order of a short time expansion. Higher order corrections can be then computed giving a satisfactory agreement with numerical results. The relevance of these results relies on the possibility of fully exploiting a gradient expansion in both classical and quantum field theory granting the existence of a strong coupling expansion. Having a Green function in this regime in quantum field theory amounts to obtain the corresponding spectrum of the theory. ,hep-th hep-ph math-ph math.MP,Green functions and nonlinear systems: Short time expansion.   We show that Green function methods can be straightforwardly applied to nonlinear equations appearing as the leading order of a short time expansion. Higher order corrections can be then computed giving a satisfactory agreement with numerical results. The relevance of these results relies on the possibility of fully exploiting a gradient expansion in both classical and quantum field theory granting the existence of a strong coupling expansion. Having a Green function in this regime in quantum field theory amounts to obtain the corresponding spectrum of the theory.,"['hep-th', 'hep-ph', 'math-ph', 'math.MP']"
704.1562,Galaxy evolution in the infra-red: comparison of a hierarchical galaxy   formation model with SPITZER data,"  We present predictions for the evolution of the galaxy luminosity function, number counts and redshift distributions in the IR based on the Lambda-CDM cosmological model. We use the combined GALFORM semi-analytical galaxy formation model and GRASIL spectrophotometric code to compute galaxy SEDs including the reprocessing of radiation by dust. The model, which is the same as that in Baugh et al (2005), assumes two different IMFs: a normal solar neighbourhood IMF for quiescent star formation in disks, and a very top-heavy IMF in starbursts triggered by galaxy mergers. We have shown previously that the top-heavy IMF seems to be necessary to explain the number counts of faint sub-mm galaxies. We compare the model with observational data from the SPITZER Space Telescope, with the model parameters fixed at values chosen before SPITZER data became available. We find that the model matches the observed evolution in the IR remarkably well over the whole range of wavelengths probed by SPITZER. In particular, the SPITZER data show that there is strong evolution in the mid-IR galaxy luminosity function over the redshift range z ~ 0-2, and this is reproduced by our model without requiring any adjustment of parameters. On the other hand, a model with a normal IMF in starbursts predicts far too little evolution in the mid-IR luminosity function, and is therefore excluded. ",astro-ph,"Galaxy evolution in the infra-red: comparison of a hierarchical galaxy   formation model with SPITZER data.   We present predictions for the evolution of the galaxy luminosity function, number counts and redshift distributions in the IR based on the Lambda-CDM cosmological model. We use the combined GALFORM semi-analytical galaxy formation model and GRASIL spectrophotometric code to compute galaxy SEDs including the reprocessing of radiation by dust. The model, which is the same as that in Baugh et al (2005), assumes two different IMFs: a normal solar neighbourhood IMF for quiescent star formation in disks, and a very top-heavy IMF in starbursts triggered by galaxy mergers. We have shown previously that the top-heavy IMF seems to be necessary to explain the number counts of faint sub-mm galaxies. We compare the model with observational data from the SPITZER Space Telescope, with the model parameters fixed at values chosen before SPITZER data became available. We find that the model matches the observed evolution in the IR remarkably well over the whole range of wavelengths probed by SPITZER. In particular, the SPITZER data show that there is strong evolution in the mid-IR galaxy luminosity function over the redshift range z ~ 0-2, and this is reproduced by our model without requiring any adjustment of parameters. On the other hand, a model with a normal IMF in starbursts predicts far too little evolution in the mid-IR luminosity function, and is therefore excluded.",['astro-ph']
704.1767,The multiplicity of planet host stars - New low-mass companions to   planet host stars,"  We present new results from our ongoing multiplicity study of exoplanet host stars, carried out with the infrared camera SofI at ESO-NTT. We have identified new low mass companions to the planet host stars HD101930 and HD65216. HD101930AB is a wide binary systems composed of the planet host star HD101930A and its companion HD101930B which is a M0 to M1 dwarf with a mass of about 0.7Msun separated from the primary by ~73arcsec (2200AU projected separation). HD65216 forms a hierarchical triple system, with a projected separation of 253AU (angular separation of about 7arcsec) between the planet host star HD65216A and its close binary companion HD65216BC, whose two components are separated by only ~0.17arcsec (6AU of projected separation). Two VLT-NACO images separated by 3 years confirm that this system is co-moving to the planet host star. The infrared photometry of HD65216B and C is consistent with a M7 to M8 (0.089Msun), and a L2 to L3 dwarf (0.078Msun), respectively, both close to the sub-stellar limit. An infrared spectrum with VLT-ISAAC of the pair HD65216BC, even though not resolved spatially, confirms this late spectral type. Furthermore, we present H- and K-band ISAAC infrared spectra of HD16141B, the recently detected co-moving companion of the planet host star HD16141A. The infrared spectroscopy as well as the apparent infrared photometry of HD16141B are both fully consistent with a M2 to M3 dwarf located at the distance of the planet host star. ",astro-ph,"The multiplicity of planet host stars - New low-mass companions to   planet host stars.   We present new results from our ongoing multiplicity study of exoplanet host stars, carried out with the infrared camera SofI at ESO-NTT. We have identified new low mass companions to the planet host stars HD101930 and HD65216. HD101930AB is a wide binary systems composed of the planet host star HD101930A and its companion HD101930B which is a M0 to M1 dwarf with a mass of about 0.7Msun separated from the primary by ~73arcsec (2200AU projected separation). HD65216 forms a hierarchical triple system, with a projected separation of 253AU (angular separation of about 7arcsec) between the planet host star HD65216A and its close binary companion HD65216BC, whose two components are separated by only ~0.17arcsec (6AU of projected separation). Two VLT-NACO images separated by 3 years confirm that this system is co-moving to the planet host star. The infrared photometry of HD65216B and C is consistent with a M7 to M8 (0.089Msun), and a L2 to L3 dwarf (0.078Msun), respectively, both close to the sub-stellar limit. An infrared spectrum with VLT-ISAAC of the pair HD65216BC, even though not resolved spatially, confirms this late spectral type. Furthermore, we present H- and K-band ISAAC infrared spectra of HD16141B, the recently detected co-moving companion of the planet host star HD16141A. The infrared spectroscopy as well as the apparent infrared photometry of HD16141B are both fully consistent with a M2 to M3 dwarf located at the distance of the planet host star.",['astro-ph']
704.0613,Anomalous c-axis transport in layered metals,"  Transport in metals with strongly anisotropic single-particle spectrum is studied. Coherent band transport in all directions, described by the standard Boltzmann equation, is shown to withstand both elastic and inelastic scattering as long as $E_F\tau\gg 1$. A model of phonon-assisted tunneling via resonant states located in between the layers is suggested to explain a non-monotonic temperature dependence of the c-axis resistivity observed in experiments. ",cond-mat.str-el cond-mat.dis-nn,"Anomalous c-axis transport in layered metals.   Transport in metals with strongly anisotropic single-particle spectrum is studied. Coherent band transport in all directions, described by the standard Boltzmann equation, is shown to withstand both elastic and inelastic scattering as long as $E_F\tau\gg 1$. A model of phonon-assisted tunneling via resonant states located in between the layers is suggested to explain a non-monotonic temperature dependence of the c-axis resistivity observed in experiments.",['cond-mat.str-el']
704.0729,The First Law for Boosted Kaluza-Klein Black Holes,"  We study the thermodynamics of Kaluza-Klein black holes with momentum along the compact dimension, but vanishing angular momentum. These black holes are stationary, but non-rotating. We derive the first law for these spacetimes and find that the parameter conjugate to variations in the length of the compact direction is an effective tension, which generally differs from the ADM tension. For the boosted black string, this effective tension is always positive, while the ADM tension is negative for large boost parameter. We also derive two Smarr formulas, one that follows from time translation invariance, and a second one that holds only in the case of exact translation symmetry in the compact dimension. Finally, we show that the `tension first law' derived by Traschen and Fox in the static case has the form of a thermodynamic Gibbs-Duhem relation and give its extension in the stationary, non-rotating case. ",hep-th,"The First Law for Boosted Kaluza-Klein Black Holes.   We study the thermodynamics of Kaluza-Klein black holes with momentum along the compact dimension, but vanishing angular momentum. These black holes are stationary, but non-rotating. We derive the first law for these spacetimes and find that the parameter conjugate to variations in the length of the compact direction is an effective tension, which generally differs from the ADM tension. For the boosted black string, this effective tension is always positive, while the ADM tension is negative for large boost parameter. We also derive two Smarr formulas, one that follows from time translation invariance, and a second one that holds only in the case of exact translation symmetry in the compact dimension. Finally, we show that the `tension first law' derived by Traschen and Fox in the static case has the form of a thermodynamic Gibbs-Duhem relation and give its extension in the stationary, non-rotating case.",['hep-th']
704.0681,Monitoring spatially heterogeneous dynamics in a drying colloidal thin   film,"  We report on a new type of experiment that enables us to monitor spatially and temporally heterogeneous dynamic properties in complex fluids. Our approach is based on the analysis of near-field speckles produced by light diffusely reflected from the superficial volume of a strongly scattering medium. By periodic modulation of an incident speckle beam we obtain pixel-wise ensemble averages of the structure function coefficient, a measure of the dynamic activity. To illustrate the application of our approach we follow the different stages in the drying process of a colloidal thin film. We show that we can access ensemble averaged dynamic properties on length scales as small as ten micrometers over the full field of view. ",cond-mat.soft cond-mat.stat-mech physics.ins-det physics.optics,"Monitoring spatially heterogeneous dynamics in a drying colloidal thin   film.   We report on a new type of experiment that enables us to monitor spatially and temporally heterogeneous dynamic properties in complex fluids. Our approach is based on the analysis of near-field speckles produced by light diffusely reflected from the superficial volume of a strongly scattering medium. By periodic modulation of an incident speckle beam we obtain pixel-wise ensemble averages of the structure function coefficient, a measure of the dynamic activity. To illustrate the application of our approach we follow the different stages in the drying process of a colloidal thin film. We show that we can access ensemble averaged dynamic properties on length scales as small as ten micrometers over the full field of view.",['cond-mat.stat-mech']
